"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"thomas mccullough","1301080","1999-2000","ga","Chattooga County","MCCULLOUGH, THOMAS T.","1301920","2001-2002","ga","Early County","MCCULLOUGH, THOMAS T."
"john jackson","1302490","2001-2004","ga","Greene County","JACKSON, JOHN A.","1302190","2016-2017","ga","Floyd County","JOHN JACKSON"
"bryan dorsey","1302340","2011-2012","ga","Gilmer County","BRYAN DORSEY","1304560","2014-2018","ga","Stephens County","BRYAN DORSEY"
"orval porter","1302580","1999-2002","ga","Habersham County","PORTER, ORVAL F.","1301620","2003-2008","ga","Dalton City","PORTER, ORVAL"
"walter humphrey","1300540","2000-2001","ga","Brooks County","HUMPHREY, WALTER KEITH","1303240","2007-2016","ga","Lanier County","HUMPHREY, WALTER KEITH"
"charlotte pipkin","1303840","2004-2005","ga","Murray County","PIPKIN, CHARLOTTE H.","1300440","2009-2014","ga","Bleckley County","CHARLOTTE PIPKIN"
"franklin perry","1304620","2002-2004","ga","Sumter County","PERRY SR., FRANKLIN D","1305220","2007-2008","ga","Twiggs County","PERRY, FRANKLIN DENNIS"
"doug tuetken","1919200","2017-2018","ia","Midland Comm School District","Doug Tuetken","1920820","2019","ia","North Linn Comm School District","Doug Tuetken"
"terry kenealy","1903450","2009-2013","ia","Allison-Bristow Comm School District","Terry Kenealy","1913440","2014","ia","Hamburg Comm School District","Terry Kenealy"
"darwin lehmann","1913230","2004-2006","ia","Griswold Comm School District","Darwin Lehmann","1911790","2007-2020, 2023-2024","ia","Forest Citycomm School District","Darwin Lehmann"
"greg ebeling","1926910","2004-2010","ia","Spencer Comm School District","Greg Ebeling","1922470","2011-2020, 2023-2024","ia","Pella","Greg Ebeling"
"robert mccurdy","1903030","2004-2006","ia","Lineville-Clio Comm School District","Robert McCurdy","1924990","2004-2007","ia","Russell Comm School District","Robert McCurdy"
"casey berlau","1910710","2006-2008","ia","Elk Horn-Kimballtoncomm School District","Casey Berlau","1906330","2019-2020, 2023-2024","ia","Carroll Comm School District","Casey Berlau"
"dan crozier","1903660","2004-2006","ia","Anita Comm School District","Dan Crozier","1903930","2009","ia","Atlantic Comm School District","Dan Crozier"
"allan nelson","1912300","2004","ia","Garnavillo Comm School District","Allan Nelson","1913350","2004-2014","ia","Guttenberg Comm School District","Allan Nelson"
"steve callison","1900023","2005","ia","Sioux Central","Steve Callison","1921810","2007-2008","ia","Orient-Macksburgcomm School District","Steve Callison"
"deron stender","1907350","2016-2018","ia","Clarinda Comm School District","Deron Stender","1908310","2019-2020, 2023-2024","ia","Creston Comm School District","Deron Stender"
"elizabeth pressler","1710830","2006-2007","il","Triopia Cusd 27","ELIZABETH PRESSLER","1708610","2008-2012","il","Carrollton Cusd 1","Dr Elizabeth Pressler"
"don white","1719290","2013-2014, 2017","il","Hinsdale Ccsd 181","Dr. Don White","1726370","2018-2020","il","Mokena Sd 159","Dr. Don White"
"mark doan","1705190","2003","il","Bartonville School Dist 66","MARK E DOAN ","1713560","2011-2014, 2017-2021","il","Effingham Cusd 40","Mr. Mark E Doan"
"lindell croft","1709810","2003-2004","il","Chester Comm Unit Sch Dist 139","LINDELL CROFT ","1712480","2010","il","Dongola Usd 66","Dr. Lindell Croft"
